"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SUPT6H",0.635711010928962,5.576337890625,8.59823083493585,2.22690297009342e-14,2.87784383827457e-12,22.2359974233698
"MIEF2",0.872129972677594,5.232725546875,8.58569315359504,2.38744933169215e-14,3.06845946892893e-12,22.1679500384651
"PTPN9",0.633094107468123,4.232902265625,8.54578670707476,2.97912538599181e-14,3.8080994064417e-12,21.9515360035949
"ELMOD3",0.649653606557377,6.06908609375,8.52538909041586,3.33574405664144e-14,4.24090271417334e-12,21.841023377192
"ZFP36",1.04319363387978,8.928877265625,8.51724004277947,3.48981001811033e-14,4.41292105515886e-12,21.796892460551
"CYB561A3",0.745582021857921,7.27159453125,8.51132437220812,3.6060657029984e-14,4.5355436007766e-12,21.7648635082635
"MUS81",0.506575765027321,7.464973359375,8.50812856291802,3.67046434975565e-14,4.59198518650281e-12,21.7475630998522
"RNF167",0.854929289617484,7.0401778125,8.50344832184626,3.76684514819375e-14,4.68762951775222e-12,21.7222299659596
"MEX3C",0.516410229508196,3.8881115,8.49966666989429,3.84655629125527e-14,4.76163178791178e-12,21.701763481599
"HS1BP3",0.41428681010929,4.96418294921875,8.4862047346112,4.14416978106372e-14,5.10318708118422e-12,21.6289270772704
"ACAP3",0.739165054644809,5.431025859375,8.47112016264367,4.50493163537686e-14,5.50507527267484e-12,21.5473490771479
"CD81",0.501810109289613,11.45752109375,8.470622760815,4.51734493038369e-14,5.50507527267484e-12,21.5446597898454
"SENP1",0.657032868852458,4.320401953125,8.46470634626112,4.66763087984962e-14,5.65792459738441e-12,21.5126750459777
"GLRA2",0.85876218579235,4.354569375,8.46380798378086,4.69088136262738e-14,5.65792459738441e-12,21.5078189480843
"C1QTNF5 /// MFRP",0.655344890710382,6.409074765625,8.46078651284931,4.76992820365099e-14,5.72391384438119e-12,21.4914874384627
"SPATA20",1.14903852459016,7.96785734375,8.43772687959815,5.41847508842444e-14,6.46916416648441e-12,21.3669001597441
"C16orf58",0.77409072859745,5.48695078125,8.42965242734552,5.66570559696084e-14,6.73017149699591e-12,21.3232977713438
"SPTAN1",0.575200387978141,5.387298203125,8.42712238748171,5.74545631810748e-14,6.79060967848683e-12,21.309637862423
"SZRD1",0.680096878415299,6.66690650390625,8.42474895090106,5.82128492418732e-14,6.84583107084429e-12,21.2968245181488
"PNRC1",0.730229699453551,8.810653515625,8.41767787724714,6.05314627101272e-14,7.08308459175219e-12,21.2586563284469
"SUOX",0.96516571038251,7.774365234375,8.40505365916846,6.49015416963626e-14,7.55685277573489e-12,21.1905359641451
"MAP3K11",0.577195819672128,5.764782265625,8.39181285868261,6.98223215909625e-14,8.08975863950462e-12,21.1191197378992
"CHPF",0.955644808743167,5.965425625,8.38690353328555,7.17395897556815e-14,8.24021039565501e-12,21.0926487242304
"HECTD3",0.884576284153006,7.5890034375,8.38669655579099,7.1821561696823e-14,8.24021039565501e-12,21.0915328017767
"PARD3B",0.398861683060109,3.647167375,8.37909076227582,7.48992360298434e-14,8.55160209428114e-12,21.0505315155825
"IDUA",0.542414508196719,4.843148828125,8.37469817841537,7.67360473105922e-14,8.71899436108758e-12,21.0268568505944
"PPIL6",0.487113661202185,3.67418020833333,8.37233361178352,7.77432883864879e-14,8.79097184062594e-12,21.0141140467555
"ABL1",0.815913196721307,7.049462265625,8.33696503410292,9.44764082764515e-14,1.06319862328332e-11,20.8236346745668
"FXYD5",1.51043918032787,6.97606734375,8.3352607581952,9.5367487214735e-14,1.06811585680503e-11,20.8144621217392
"PHC2",0.502716489071033,6.2550658203125,8.32852420810541,9.89722034707873e-14,1.10323517802508e-11,20.7782108173867
"CASP10",0.47236844262295,4.611858671875,8.32171643788409,1.02752597689638e-13,1.13997221587749e-11,20.7415849714142
"SSBP3",0.843848916211291,6.10101127604167,8.31889597576631,1.04360549574481e-13,1.15237564600554e-11,20.7264134407591
"ZNF778",0.909978989071037,3.532400390625,8.3171880233649,1.05346389164271e-13,1.15465377475815e-11,20.7172269384768
"ALDH4A1",0.786238606557372,9.217646171875,8.31683947393585,1.05548708151787e-13,1.15465377475815e-11,20.7153522762591
"ZBTB9",0.802778551912567,6.163831640625,8.30411177070563,1.13207191475522e-13,1.23270052940013e-11,20.6469125671706
"INO80E",0.68989,6.41355140625,8.29947536859969,1.16132148448071e-13,1.25872264124361e-11,20.6219892810892
"CACFD1",0.566899576502734,7.8139444921875,8.29128315536735,1.21485118918732e-13,1.31064949715065e-11,20.5779615700129
"KHSRP",0.399047616120219,5.99890267578125,8.29045827517795,1.22037516954079e-13,1.31064949715065e-11,20.5735291006552
"G6PC3",0.58250807377049,6.7246330078125,8.28942749649346,1.22731309036946e-13,1.31210926752226e-11,20.5679904258108
"ZNF324",0.839489153005464,6.078374765625,8.2757165268236,1.32341376469879e-13,1.40844759030387e-11,20.4943368724899
"PLK3",0.511897923497267,4.96445770833333,8.26039056145041,1.43970719895455e-13,1.51996645883061e-11,20.4120508817501
"WBP11",0.643761693989068,6.34430703125,8.26021144917743,1.4411246612212e-13,1.51996645883061e-11,20.4110894878779
"SORBS3",0.785592718579231,6.5974947265625,8.24926633353725,1.53042591185259e-13,1.60694720744522e-11,20.3523529408635
"C6orf136",0.939366680327869,6.8787688671875,8.24531036083144,1.56403791794201e-13,1.63494097022205e-11,20.3311291362895
"CIDEB",1.15482355191257,10.84970453125,8.228179839253,1.71825835801161e-13,1.78820515842624e-11,20.2392593862056
